,sperm_id,total_distance,displacement,time_elapsed,vcl,vsl,vap,alh,mad,lin,wob,str,bcf,label
0,1.0,50.77,0.46,29.38,1.73,0.02,1.67,0.27,1.54,0.01,0.97,0.01,2.79,1
1,2.0,110.12,28.63,29.38,3.75,0.97,3.68,0.77,1.31,0.26,0.98,0.26,0.48,1
2,3.0,50.44,0.22,29.38,1.72,0.01,1.67,0.17,1.56,0.01,0.97,0.01,4.36,1
3,4.0,80.15,10.03,29.38,2.73,0.34,2.67,0.57,1.42,0.12,0.98,0.13,2.48,1
4,5.0,52.83,0.24,29.38,1.8,0.01,1.77,0.23,1.57,0.01,0.98,0.01,4.15,1
5,6.0,66.98,2.84,29.38,2.28,0.1,2.21,0.54,1.55,0.04,0.97,0.05,1.5,1
6,7.0,80.36,0.79,29.38,2.74,0.03,2.72,0.77,1.58,0.01,0.99,0.01,2.04,1
7,8.0,52.36,0.13,29.38,1.78,0.0,1.76,0.14,1.57,0.0,0.99,0.0,3.54,1
8,9.0,317.21,108.2,6.4,49.56,16.91,50.08,7.62,1.42,0.34,1.01,0.34,2.5,1
9,10.0,58.39,0.88,29.38,1.99,0.03,1.96,0.27,1.56,0.02,0.98,0.02,1.36,1
10,11.0,63.67,0.44,29.38,2.17,0.01,2.1,0.23,1.57,0.0,0.97,0.0,1.7,1
11,12.0,66.19,6.38,29.38,2.25,0.22,2.18,0.88,1.48,0.1,0.97,0.1,0.61,1
12,13.0,92.09,3.76,28.92,3.18,0.13,3.14,0.62,1.51,0.04,0.99,0.04,1.04,1
13,14.0,132.71,81.18,29.38,4.52,2.76,4.5,1.99,0.88,0.61,1.0,0.61,0.68,1
14,15.0,110.71,12.34,29.38,3.77,0.42,3.67,1.58,1.46,0.11,0.97,0.11,0.34,1
15,16.0,64.06,0.51,29.38,2.18,0.02,2.15,0.32,1.55,0.01,0.99,0.01,3.2,1
16,17.0,120.26,31.85,29.38,4.09,1.08,4.03,0.91,1.28,0.26,0.99,0.27,0.71,1
17,18.0,137.17,59.97,29.38,4.67,2.04,4.61,2.93,1.17,0.44,0.99,0.44,0.58,1
18,19.0,158.05,91.97,29.38,5.38,3.13,5.35,6.39,0.84,0.58,0.99,0.59,0.07,1
19,20.0,101.11,50.48,29.38,3.44,1.72,3.38,3.19,1.04,0.5,0.98,0.51,0.44,1
20,21.0,78.36,2.95,29.38,2.67,0.1,2.61,0.42,1.52,0.04,0.98,0.04,1.02,1
21,22.0,94.62,47.61,23.2,4.08,2.05,4.06,1.71,1.01,0.5,1.0,0.5,0.43,1
22,23.0,133.81,23.96,29.38,4.55,0.82,4.47,2.24,1.39,0.18,0.98,0.18,1.26,1
23,24.0,146.61,86.37,29.38,4.99,2.94,4.93,3.17,0.91,0.59,0.99,0.6,0.1,1
24,25.0,216.26,59.41,4.4,49.15,13.5,50.28,15.53,1.37,0.27,1.02,0.27,0.45,1
25,26.0,153.79,50.44,29.38,5.23,1.72,5.19,2.48,1.19,0.33,0.99,0.33,0.51,1
26,27.0,109.71,19.37,29.38,3.73,0.66,3.73,5.31,1.41,0.18,1.0,0.18,0.78,1
27,28.0,202.23,33.77,28.92,6.99,1.17,7.04,14.51,1.15,0.17,1.01,0.17,0.1,1
28,29.0,519.54,193.69,5.96,87.17,32.5,87.71,16.01,1.12,0.37,1.01,0.37,1.68,0
29,30.0,499.06,217.19,4.98,100.21,43.61,101.21,11.01,1.04,0.44,1.01,0.43,3.21,0
30,31.0,647.38,82.2,29.38,22.03,2.8,22.04,41.2,1.46,0.13,1.0,0.13,0.07,1
31,32.0,203.78,121.24,26.12,7.8,4.64,7.77,6.26,0.81,0.59,1.0,0.6,0.04,1
32,33.0,1371.4,429.18,14.76,92.91,29.08,93.47,56.99,1.11,0.31,1.01,0.31,0.27,0
33,34.0,74.08,40.13,0.64,115.75,62.7,120.4,5.36,0.92,0.54,1.04,0.52,6.25,0
34,35.0,63.45,38.05,0.94,67.5,40.48,69.6,7.07,0.81,0.6,1.03,0.58,2.13,0
35,36.0,420.66,159.13,3.66,114.93,43.48,116.08,8.26,1.07,0.38,1.01,0.37,2.73,0
36,37.0,45.36,18.51,0.5,90.72,37.02,96.34,6.94,1.01,0.41,1.06,0.38,2.0,0
37,38.0,175.44,95.34,1.0,175.44,95.34,183.32,7.07,0.93,0.54,1.04,0.52,6.0,0
