epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.48,3.45218,3.46241,1.53496,0.00487,0.10017,0.0043,0.00079,3.35966,4.18332,1.726,0,0,0
2,38.3565,3.39146,3.33667,1.6164,0.00485,0.07565,0.00445,0.00101,3.33773,4.07035,1.70837,1.41485e-05,1.41485e-05,1.41485e-05
3,53.744,3.48758,3.24875,1.46938,0.00778,0.09301,0.00788,0.00255,3.30538,3.83086,1.67402,2.80141e-05,2.80141e-05,2.80141e-05
4,68.9915,3.31476,3.02707,1.43298,0.00817,0.06944,0.01064,0.00384,3.18912,3.47213,1.60171,4.15968e-05,4.15968e-05,4.15968e-05
5,84.505,3.01003,2.73667,1.33278,0.01644,0.16435,0.02587,0.00737,3.03936,3.06693,1.50296,5.48965e-05,5.48965e-05,5.48965e-05
6,100.009,2.86256,2.29172,1.24403,0.72756,0.08102,0.04024,0.01072,2.94726,2.6485,1.42752,6.79132e-05,6.79132e-05,6.79132e-05
7,115.657,2.6552,1.97086,1.16339,0.39175,0.1331,0.04831,0.01308,2.93265,2.57574,1.39209,8.0647e-05,8.0647e-05,8.0647e-05
8,131.122,2.48214,1.7029,1.07188,0.05463,0.16088,0.05033,0.01338,2.9292,3.1998,1.36206,9.30979e-05,9.30979e-05,9.30979e-05
9,146.321,2.36683,1.58651,1.12886,0.3897,0.17593,0.0574,0.0144,2.81674,3.47295,1.31802,0.000105266,0.000105266,0.000105266
10,161.685,2.22,1.4759,1.08269,0.4128,0.12847,0.06195,0.01726,2.61622,2.75365,1.26174,0.000117151,0.000117151,0.000117151
11,177.249,2.31153,1.42364,1.05307,0.40447,0.10648,0.05077,0.0147,2.50728,2.42784,1.22439,0.000128753,0.000128753,0.000128753
12,193.164,2.20671,1.34505,1.01764,0.38775,0.10417,0.03932,0.01107,2.52646,2.50106,1.22778,0.000140072,0.000140072,0.000140072
13,208.654,2.10969,1.3817,1.00947,0.37425,0.1412,0.03817,0.01079,2.56671,2.61932,1.25014,0.000151108,0.000151108,0.000151108
14,223.962,2.02052,1.17289,0.95784,0.36999,0.15003,0.0335,0.00949,2.73827,2.88363,1.31974,0.000161861,0.000161861,0.000161861
15,239.293,1.8878,1.16753,0.9673,0.37747,0.16782,0.04657,0.01217,2.77407,2.93219,1.33123,0.000172332,0.000172332,0.000172332
16,254.615,1.89094,1.05816,0.94884,0.42301,0.09606,0.06242,0.01582,2.76362,2.87733,1.33701,0.000182519,0.000182519,0.000182519
17,269.685,1.80768,1.03406,0.93995,0.44775,0.18056,0.10366,0.02624,2.63565,2.58458,1.32032,0.000192423,0.000192423,0.000192423
18,285.007,1.80737,1.03837,0.94548,0.44775,0.18056,0.10366,0.02624,2.63565,2.58458,1.32032,0.000202045,0.000202045,0.000202045
